ID_indicateurs,Libellé_indicateurs,Type_Sources,Question à choix unique,Unités_indicateurs,Valeur_min_controle,Valeur_max_controle,Type de bornage,Coef K,Valeur-borne Score=0,Valeur-borne Score=100,Justif Score=0,Justif Score=100,Valeur médiane,Commentaire Valeur médiane,Valeur-intermédiaire Score=20,Valeur-intermédiaire Score=33,Valeur-intermédiaire Score=40,Valeur-intermédiaire Score=50,Valeur-intermédiaire Score=60,Valeur-intermédiaire Score=66,Valeur-intermédiaire Score=80
i083,Nombre d’équipements total pour 1000 habitants,Donnée ouverte,Non,/ 1 000 hab,0,1000,Mixte,,0,"82,6",Pire valeur possible,Soit 2X la médiane,"41,3",Médiane. Calculée sur un périmètre de 859 territoires suite à traitement par Christine,,,,,,,
i084,Part des emplois de la sphère présentielle,Donnée ouverte,Non,%,0,100,Absolu,,0,100,,,"0,64",Médiane France 2021 : 64%,,,,,,,
i085,"Part des emplois jugés ""à risque"" dans un contexte de transformation de l'économie française vers une société bas-carbone",Donnée ouverte,Non,%,0,100,Absolu,,100,0,,,,,,,,,,,
i086,Indicateur de dépendance économique (taux d'actifs / taux d'inactifs),Donnée ouverte,Non,/,0,250,Mixte,,222,75,2x la médiane. Pire valeur EPCI : 183,"Seuil en deça duquel le territoire est dans une ""zone optimale"" de dépendance économique selon la littérature",111,Médiane,,,,,,,
i087,Part des emplois dans l’économie sociale et solidaire dans l'ensemble de l'économie,Donnée ouverte,Non,%,0,100,Mixte,,0,"21,8",Pire valeur possible,Soit 2x la moyenne nationale,"10,9","moyenne fr métropolitaine 2021 : 10,9% (ODDetT)",,,,,,,
i088,Existence d'un dispositif de tarification incitative sur la collecte des déchets (taxe ou redevance),Donnée interne,Oui,/,/,/,Absolu,,Non,"Oui, à jour et mis en oeuvre",,,,,Non mais en cours d'élaboration,"Oui, mais pas à jour et non mis en oeuvre","Oui, à jour mais pas ou peu mis en oeuvre ;",,"Oui, mis en oeuvre mais plus à jour",,"Oui, mis en oeuvre et en cours de révision"
i089,Taux de valorisation matière et organique des déchets ménagers et assimilés,Donnée ouverte,Non,%,0,100,Absolu,,0,100,"NB : valeur haute du 1er quantile  0,382, Sources INSEE - échelle départementale",Valeur absolue cible. ,"48,6",moyenne fr (carte INSEE),,,,,,,
i090,Part des achats publics intégrant au moins une considération environnementale,Donnée interne,Non,%,0,100,Absolu,,0,100,,,,,,,,,,,
i091,Identification d'un agent-référent sur les enjeux économiques,Donnée interne,Oui,/,/,/,Absolu,,Non,Oui,,,-,,en cours,"Oui, 1/4 ETP ou moins",,,,"Oui, 1/2 ETP",
i092,Identification d'un élu référent sur les enjeux économiques,Donnée interne,Oui,/,/,/,Absolu,,Non,Oui,,,,,en cours,,,,,,
i093,Existence d'un Projet Éducatif Territorial (PEDT),Donnée interne,Oui,/,/,/,Absolu,,Non,"Oui, à jour et mis en oeuvre",,,,,Non mais en cours d'élaboration,"Oui, mais pas à jour et non mis en oeuvre","Oui, à jour mais pas ou peu mis en oeuvre ;",,"Oui, mis en oeuvre mais plus à jour",,"Oui, mis en oeuvre et en cours de révision"
i094,Indice de fragilité numérique,Donnée ouverte,Non,/,1,10,Absolu,,10,1,score de l'outil de 1 (faible risque de fragilité numérique) à 10 (fort risque de fragilité numérique)).,score de l'outil de 1 (grande proximité) à 10 (faible proximité).,,,,,,,,,
i095,Nombre de lieux de médiation numérique pour 10.000 habitants,Donnée ouverte,Non,/ 10 000 hab,0,10000,Mixte,,0,"5,4",Pire valeur possible,2x la médiane,"2,71",Mediane France,,,,,,,
i096,Nombre de médias locaux indépendants à l'échelle départementale,Donnée ouverte,Non,/,0,10,Absolu,,0,2,Pire valeur possible,Valeur absolue proposée.,1,,,,,,,,
i097,Distance moyenne aux bibliothèques,Donnée ouverte,Non,km,0,/,Absolu,,10,1,score de l'outil de 1 (grande proximité) à 10 (faible proximité).,score de l'outil de 1 (grande proximité) à 10 (faible proximité).,,,,,,,,,
i098,Part des établissements scolaires engagés dans une démarche globale de développement durable (label E3D),Donnée interne,Non,%,0,100,Absolu,,0,100,,,,,,,,,,,
